Produk ID,Harga Tematik,Harga FS (Bottom)
4826981730,50.900,49.900
4826948824,50.900,49.900
10519215914,50.900,49.900
1416452599,50.900,49.900
1375656977,50.900,49.900
2985518827,38.100,37.300
1043151903,50.900,49.900
644607914,50.900,49.900
1412488691,50.900,49.900
11748554461,45.600,44.800
11748571479,55.000,55.000
6704882046,18.200,17.900
1070573745,39.700,39.000
2301258836,34.900,34.900
7963450079,43.200,42.400
7963450079,43.200,42.400
2593950903,50.900,49.900
2593975957,50.900,49.900
11748622309,175.000,175.000
7323334305,99.000,99.000
6970737846,141.100,138.500
6979012393,23.600,23.300
479827353,141.100,138.500
1968816845,50.900,49.900
14031893115,104.000,99.800
14608852217,81.500,81.500
,,
14354963239,12.000,12.000
14355069560,13.500,13.500
14635475618,49.500,49.500
14635463348,56.500,56.500
502933135,18.200,17.800
743129940,18.200,17.800
1336979224,18.200,17.800
2027843708,18.200,17.800
2529293132,15.000,14.600
3600629562,50.900,50.000
3600674728,50.900,50.000
12385304648,26.200,25.500
12385313388,155.400,152.000
1426325857,18.200,17.800
2050433765,18.200,17.800
4827008984,19.300,18.800
4827034038,18.200,17.800
12679903865,18.200,17.800
12679909474,27.800,33.400
,6.550,
,,
13796462827,,
1.293.165.861.812.930.000.000,,
1.293.165.861.812.930.000.000,,132.700
1.293.165.861.812.930.000.000,,
1.293.165.861.812.930.000.000,,
1.293.172.815.712.930.000.000,,
1.293.172.815.712.930.000.000,,
1.293.172.815.712.930.000.000,,
1.293.172.815.712.930.000.000,,
,,85.500
,,85.500
,,85.500
,,85.500
,,85.500
,,85.500
,,
,,88.000
,,128.000
,,165.000
,,
10541952197,67.000,67.000
1802419541,67.000,67.000
671088714,51.500,51.500
12287207239,#N/A,#N/A
,#N/A,10.000
