flash_date,product_name,SUM of Tiv,SUM of Quantity_Available,SUM of Quantity_Sold,STR
2024-07-25,Twin Pack - HiLo Teen Vanilla Caramel 1000 gram - Susu Tinggi Kalsium,978.000,10,3,"30,00%"
2024-07-25,Twin Pack: L-Men Platinum Basic Whey Protein Unflavoured 800gr,560.000,10,1,"10,00%"
2024-07-25,Twin Pack: Tropicana Slim Avocado Coffee (10 Sch) - Tanpa Gula Pasir,69.600,10,1,"10,00%"
2024-07-25,Twin Pack: Tropicana Slim Kecap Asin 200ml,0,10,0,"0,00%"
2024-07-25,Twin Pack: Tropicana Slim Minyak Kanola 946ml - Pure Canola Oil,912.000,10,6,"60,00%"
2024-07-26,4 Packs - Tropicana Slim Oat Drink Japanese Cantaloupe Melon 190 ml,166.000,10,5,"50,00%"
2024-07-26,HiLo Active Vanilla 1000g - Susu Tinggi Kalsium Lebih Rendah Lemak,435.000,5,3,"60,00%"
2024-07-26,HiLo Gold Chocolate 750gr - Susu Tinggi Kalsium,0,10,0,"0,00%"
2024-07-26,HiLo Gold Plain 1000gr - Susu Tinggi Kalsium,155.500,20,1,"5,00%"
2024-07-26,HiLo School Strawberry Cheesecake 500gr- Susu Tinggi Kalsium,85.500,10,1,"10,00%"
2024-07-26,HiLo School Vanilla Gusset 10 Sachet (350gr) - Susu Tinggi Kalsium,49.000,10,1,"10,00%"
2024-07-26,HiLo School Vanilla Vegiberi 200ml (24 Pack) - Susu Tinggi Kalsium,171.000,10,1,"10,00%"
2024-07-26,HiLo School Vanilla Vegiberi 500gr - Susu Tinggi Kalsium,0,10,0,"0,00%"
2024-07-26,L-Men Gain Mass Chocolate 225gr,0,10,0,"0,00%"
2024-07-26,L-Men Lose Weight Chocolate Cereal 300gr,143.600,10,1,"10,00%"
2024-07-26,L-Men Platinum Basic Whey Protein Unflavoured 800gr - 25g Whey Protein,560.000,10,2,"20,00%"
2024-07-26,L-Men Platinum Choco Latte Box (6 Sch) - 25 gr Potein / Serving,0,10,0,"0,00%"
2024-07-26,NutriSari Lemon Tea Powder Drink Refill 400 gram - Teh Rasa Buah Lemon,373.000,10,10,"100,00%"
2024-07-26,Triple Pack: Tropicana Slim White Coffee - Kopi Bebas Gula,60.000,5,1,"20,00%"
2024-07-26,Tropicana Slim Bumbu Kaldu Ayam Jamur 100gr - Rendah Garam Bebas MSG,0,20,0,"0,00%"
2024-07-26,Tropicana Slim Hokkaido Cheese Cookies (5 Sch) - Snack Bebas Gula,250.000,20,10,"50,00%"
2024-07-26,Tropicana Slim Korean Goguma Cookies (5 Sch) - Snack Bebas Gula,0,10,0,"0,00%"
2024-07-26,Tropicana Slim Mint Cocoa (10 Sch) - Minuman Cokelat Bebas Gula,338.400,10,9,"90,00%"
2024-07-26,Tropicana Slim Oat Drink 190ml (4 pcs) - Ready to Drink,33.200,10,1,"10,00%"
2024-07-26,Tropicana Slim Sirup Orange - Sirup Bebas Gula,33.500,10,1,"10,00%"
2024-07-26,Tropicana Slim Skim Milk Coffee 500gr - Susu Turunkan Kolesterol,1.044.000,10,9,"90,00%"
2024-07-26,Tropicana Slim Sweetener Honey (50 Sch) - Pengganti Gula,90.000,10,2,"20,00%"
2024-07-26,Tropicana Slim Sweetener Jahe (50 Sch) - Pengganti Gula,315.000,10,7,"70,00%"
2024-07-26,Tropicana Slim Sweetener Luo Han Guo (50 Sch) - Pemanis Alami,110.600,10,2,"20,00%"
2024-07-26,Tropicana Slim Topping Kental Manis - Sugar FREE,174.000,10,5,"50,00%"
2024-07-26,Twin Pack - HiLo Platinum + HMB 8 Sachet - Susu Tinggi Protein,254.000,5,1,"20,00%"
2024-07-26,Twin Pack - Tropicana Slim Gula Buah 50 Sachet - Pemanis Alami,0,10,0,"0,00%"
2024-07-26,Twin Pack: L-Men Platinum Basic Whey Protein Unflavoured 800gr,0,10,0,"0,00%"
2024-07-26,Twin Pack: Tropicana Slim Avocado Coffee (10 Sch) - Tanpa Gula Pasir,348.000,10,5,"50,00%"
2024-07-26,Twin Pack: Tropicana Slim Diabtx 50 Sch - Pengganti Gula Diabetesi,0,10,0,"0,00%"
2024-07-26,Twin Pack: Tropicana Slim Kecap Manis 200ml,56.500,10,1,"10,00%"
2024-07-26,Twin Pack: Tropicana Slim Minyak Kanola 946ml - Pure Canola Oil,760.000,30,5,"16,67%"
2024-07-27,24 Pcs- HiLo Protein Chocofit UHT 190 mL ���Susu Cokelat dengan Collagen,293.300,10,1,"10,00%"
2024-07-27,HiLo Gold Chocolate 500gr - Susu Tinggi Kalsium,0,10,0,"0,00%"
2024-07-27,HiLo Gold Original (Plain) 750gr - Susu Tinggi Kalsium,243.000,10,2,"20,00%"
2024-07-27,HiLo Gold Vanilla 500gr - Susu Tinggi Kalsium,167.000,10,2,"20,00%"
2024-07-27,HiLo Platinum Swiss Chocolate (12 Sachet) - Susu Tinggi Kalsium,410.000,10,4,"40,00%"
2024-07-27,HiLo School Vanilla Vegiberi 200ml - Ready to Drink (4 Pcs),0,10,0,"0,00%"
2024-07-27,HiLo School Vanilla Vegiberi 500gr - Susu Tinggi Kalsium,0,10,0,"0,00%"
2024-07-27,HiLo Teen Chocolate 200ml (4 Pcs) - Ready to Drink,58.400,10,2,"20,00%"
2024-07-27,HiLo Teen Vanilla Caramel 1000 gram - Susu Tinggi Kalsium,1.296.000,10,8,"80,00%"
2024-07-27,L-Men Gain Mass Chocolate 500 gr,301.000,10,2,"20,00%"
2024-07-27,L-Men Hi Protein 2 Go Chocolate (24 pcs) - 12gr Protein / Serving,303.000,10,1,"10,00%"
2024-07-27,L-Men Hi Protein 2 Go Chocolate (4 pcs) - 12gr Protein / Serving,50.500,10,1,"10,00%"
2024-07-27,L-Men Hi Protein Whey Daily Dark Chocolate,325.000,20,5,"25,00%"
2024-07-27,L-Men Hi Protein Whey Daily Popcorn Caramel 250gr,0,10,0,"0,00%"
2024-07-27,L-Men Isopower Stargizing 30 Sch - Creatine & Vitamin B Rasa Starfruit,435.200,10,4,"40,00%"
2024-07-27,L-Men Lose Weight Avocado Coffee 300gr,0,10,0,"0,00%"
2024-07-27,L-Men Protein Bar Crunchy Chocolate 12 Sch (7g protein / serving),210.000,10,2,"20,00%"
2024-07-27,NutriSari Jeruk Peras Refill 500gr,156.000,10,4,"40,00%"
2024-07-27,NutriSari Less Sugar Belimbing 40 sachet - Blimbing Starfruit Vitamin ,0,10,0,"0,00%"
2024-07-27,NutriSari Lychee Tea (40 Sch),0,10,0,"0,00%"
2024-07-27,NutriSari Madu Kurma (40 Sch),49.900,10,1,"10,00%"
2024-07-27,NutriSari Squeezed Orange 200ml (4 pcs) - Jeruk Peras Tinggi Vit C,116.500,10,5,"50,00%"
2024-07-27,NutriSari Sweet Mango (40 Sch),499.000,10,10,"100,00%"
2024-07-27,Triple Pack: Tropicana Slim Klepon Cookies (5 Sch),0,10,0,"0,00%"
2024-07-27,Tropicana Slim Beras Merah Organik 1 KG  - Beras Merah Pulen,368.000,10,10,"100,00%"
2024-07-27,Tropicana Slim Collagen Drink Strawberry 200g - Kolagen Bebas Gula,1.086.000,10,6,"60,00%"
2024-07-27,Tropicana Slim Kecap Asin 200ml - Rendah Garam,0,10,0,"0,00%"
2024-07-27,Tropicana Slim Kecap Manis 200ml - Bebas Gula Rendah Garam,85.500,10,3,"30,00%"
2024-07-27,Tropicana Slim Korean Garlic Butter Cookies (5 Sch) - Snack Bebas Gula,100.000,10,4,"40,00%"
2024-07-27,Tropicana Slim Milk Low Fat Vanilla 500gr,422.500,10,5,"50,00%"
2024-07-27,Tropicana Slim Minyak Sunflower 946ml - Pure Sunflower Oil,0,5,0,"0,00%"
2024-07-27,Tropicana Slim Saus Tiram 200ml - Bebas Gula Rendah Garam,199.800,5,6,"120,00%"
2024-07-27,Tropicana Slim Sirup Leci - Sirup Bebas Gula,67.000,10,2,"20,00%"
2024-07-27,Tropicana Slim Skim Milk Plain 1kg - Susu Turunkan Kolesterol,0,10,0,"0,00%"
2024-07-27,Tropicana Slim Sweet Orange 10 Sch - Minuman Jeruk Bebas Gula,129.600,10,6,"60,00%"
2024-07-27,Tropicana Slim Sweetener Gula Aren (50 Sch),450.000,10,10,"100,00%"
2024-07-27,Tropicana Slim Sweetener Honey (50 Sch) - Pengganti Gula,0,10,0,"0,00%"
2024-07-27,Twin Pack: L-Men Platinum Basic Whey Protein Unflavoured 800gr,0,10,0,"0,00%"
2024-07-27,Twin Pack: Tropicana Slim Beras Porang Instan 1000gr,15.222.000,160,72,"45,00%"
2024-07-27,Twin Pack: Tropicana Slim Classic 50 Sch - Pengganti Gula,0,10,0,"0,00%"
2024-07-27,Twin Pack: Tropicana Slim Skim Milk Chocolate 500gr,231.000,10,1,"10,00%"
2024-07-28,24 Pcs- HiLo Protein Chocofit UHT 190 mL ���Susu Cokelat dengan Collagen,293.300,10,1,"10,00%"
2024-07-28,HiLo Gold Chocolate 1000gr - Susu Tinggi Kalsium Rendah Lemak,622.000,10,4,"40,00%"
2024-07-28,HiLo Gold Plain 1000gr - Susu Tinggi Kalsium,777.500,10,5,"50,00%"
2024-07-28,HiLo Gold Vanilla 500gr - Susu Tinggi Kalsium,1.169.000,30,14,"46,67%"
2024-07-28,HiLo Platinum Original 360gr (12 Sch) - Susu Tinggi Kalsium,233.000,10,2,"20,00%"
2024-07-28,HiLo Platinum Swiss Chocolate (12 Sachet) - Susu Tinggi Kalsium,205.000,20,2,"10,00%"
2024-07-28,HiLo Teen Chocolate 1000gr - Susu Tinggi Kalsium,972.000,10,6,"60,00%"
2024-07-28,HiLo Teen Coffee Tiramisu 200ml (4 Pcs) - Ready to Drink,0,10,0,"0,00%"
2024-07-28,HiLo Teen Vanilla Caramel 1000 gram - Susu Tinggi Kalsium,648.000,10,4,"40,00%"
2024-07-28,HiLo Teen Yoghurt Banana 250gr - Susu Tinggi Kalsium,45.800,10,1,"10,00%"
2024-07-28,L-Men Lose Weight Chocolate Cereal 300gr,287.200,10,2,"20,00%"
2024-07-28,L-Men Protein Bar Strongberry 12 Sachet - Snack Bar Tinggi Protein,0,10,0,"0,00%"
2024-07-28,L-Men Proteinmix Coffee (6 Sch) - 12gr Protein / Serving,124.000,10,2,"20,00%"
2024-07-28,NutriSari 4 Rasa Local Package (40 Sch),99.800,5,2,"40,00%"
2024-07-28,NutriSari Cocopandan (40 Sch),49.900,10,1,"10,00%"
2024-07-28,NutriSari Es Cincau (40 Sch),0,10,0,"0,00%"
2024-07-28,NutriSari Gula Asem (40 Sch) - Minuman Buah Vitamin C Vitamin D,49.900,10,1,"10,00%"
2024-07-28,NutriSari Premium Jus Mangga 420gr - Minuman Juice Kental Rasa Mangga,0,5,0,"0,00%"
2024-07-28,Triple Pack - Tropicana Slim Kecap Manis 200ml (3 pcs),509.400,10,6,"60,00%"
2024-07-28,Triple Pack: HiLo School Chocolate 10 Sachet - Susu Tinggi Kalsium,0,10,0,"0,00%"
2024-07-28,Triple Pack: Tropicana Slim Hokkaido Cheese Cookies (5 Sch),146.000,10,2,"20,00%"
2024-07-28,Triple Pack: Tropicana Slim Klepon Cookies (5 Sch),0,10,0,"0,00%"
2024-07-28,Tropicana Slim Classic (50 sch) - Pengganti Gula,85.000,10,2,"20,00%"
2024-07-28,Tropicana Slim Classic Refill 500gr - Pengganti Gula,434.000,10,4,"40,00%"
2024-07-28,Tropicana Slim Kecap Manis 200ml - Bebas Gula Rendah Garam,85.500,10,3,"30,00%"
2024-07-28,Tropicana Slim Madu 350ml - Bebas Gula,688.000,10,10,"100,00%"
2024-07-28,Tropicana Slim Oat Drink 190ml (4 pcs) - Ready to Drink,99.600,10,3,"30,00%"
2024-07-28,Tropicana Slim Strawberry jam,152.000,10,2,"20,00%"
2024-07-28,Twin Pack - HiLo Platinum + HMB 8 Sachet - Susu Tinggi Protein,1.270.000,5,5,"100,00%"
2024-07-28,Twin Pack (2 Pcs) - Tropicana Slim Milk Low Fat Vanilla 500gr,336.000,10,2,"20,00%"
2024-07-28,Twin Pack: HiLo Active Chocolate 1000gr - Susu Tinggi Kalsium,0,10,0,"0,00%"
2024-07-28,Twin Pack: Tropicana Slim Avocado Coffee (10 Sch) - Tanpa Gula Pasir,139.200,10,2,"20,00%"
2024-07-28,Twin Pack: Tropicana Slim Classic 50 Sch - Pengganti Gula,0,10,0,"0,00%"
2024-07-28,Twin Pack: Tropicana Slim Hokkaido Cheese Cookies (5 Sch) - Sugar FREE,136.500,10,3,"30,00%"
2024-07-28,Twin Pack: Tropicana Slim Sirup Orange 750ml,64.900,10,1,"10,00%"
2024-07-29,24 Packs - Tropicana Slim Collagen Shot Peach Blossom 190ml (24pcs),0,10,0,"0,00%"
2024-07-29,4 Packs - Tropicana Slim Collagen Shot Peach Blossom 190ml (4pcs),66.400,10,2,"20,00%"
2024-07-29,HiLo Active Chocolate 500gr - Susu Tinggi Kalsium,308.000,20,4,"20,00%"
2024-07-29,HiLo Active Chocolate 750gr - Susu Tinggi Kalsium,110.000,10,1,"10,00%"
2024-07-29,HiLo Active Vanilla 1000g - Susu Tinggi Kalsium Lebih Rendah Lemak,725.000,5,5,"100,00%"
2024-07-29,HiLo Gold Original (Plain) 500gr - Susu Tinggi Kalsium,83.500,10,1,"10,00%"
2024-07-29,HiLo Gold Plain 1000gr - Susu Tinggi Kalsium,1.244.000,10,8,"80,00%"
2024-07-29,HiLo Platinum Swiss Chocolate (12 Sachet) - Susu Tinggi Kalsium,102.500,10,1,"10,00%"
2024-07-29,HiLo School Chocolate 200ml (24 Pack) - Susu Tinggi Kalsium,0,10,0,"0,00%"
2024-07-29,HiLo School Strawberry 10 Sch - Susu Tinggi Kalsium Lebih Rendah Lemak,0,5,0,"0,00%"
2024-07-29,HiLo Teen Chocolate 1000gr - Susu Tinggi Kalsium,1.458.000,10,9,"90,00%"
2024-07-29,L-Men Advanced Gold Vanilla 500g dengan 500mg HMB - 15g Whey Protein,0,10,0,"0,00%"
2024-07-29,L-Men Protein Bar Crunchy Chocolate 12 Sch (7g protein / serving),210.000,10,2,"20,00%"
2024-07-29,L-Men Proteinmix Coffee (6 Sch) - 12gr Protein / Serving,372.000,10,6,"60,00%"
2024-07-29,Lokalate Kopi Berondong 500gr - Tinggi Vitamin A Lebih Rendah Gula,0,10,0,"0,00%"
2024-07-29,NutriSari American Sweet Orange (40 Sch),998.000,20,20,"100,00%"
2024-07-29,NutriSari Lychee Tea (40 Sch),0,10,0,"0,00%"
2024-07-29,NutriSari Nostalgia Jeruk Manis Pitcher 300g- NutriSari Botol Kaca,0,10,0,"0,00%"
2024-07-29,NutriSari Premium Jus Mangga 420gr - Minuman Juice Kental Rasa Mangga,0,5,0,"0,00%"
2024-07-29,Triple Pack: Tropicana Slim Klepon Cookies (5 Sch),0,10,0,"0,00%"
2024-07-29,Tropicana Slim 7 Fruits Fiber Daily 12 Sachet,0,5,0,"0,00%"
2024-07-29,Tropicana Slim Cafe Latte (10 sch) - Kopi Bebas Gula,915.000,30,30,"100,00%"
2024-07-29,Tropicana Slim Classic (50 sch) - Pengganti Gula,170.000,10,4,"40,00%"
2024-07-29,Tropicana Slim Kecap Manis 200ml - Bebas Gula Rendah Garam,285.000,10,10,"100,00%"
2024-07-29,Tropicana Slim Korean Goguma Cookies (5 Sch) - Snack Bebas Gula,0,10,0,"0,00%"
2024-07-29,Tropicana Slim Low Fat Milk Korean Strawberry 500gr ��� Susu Kolagen,435.000,5,5,"100,00%"
2024-07-29,Tropicana Slim Oat Drink 190ml (24 pcs) - Ready to Drink,194.300,10,1,"10,00%"
2024-07-29,Tropicana Slim Oat Drink 190ml (4 pcs) - Ready to Drink,232.400,10,7,"70,00%"
2024-07-29,Tropicana Slim Saus Tiram 200ml - Bebas Gula Rendah Garam,99.900,5,3,"60,00%"
2024-07-29,Tropicana Slim Sirup Cocopandan - Sirup Bebas Gula,134.000,20,4,"20,00%"
2024-07-29,Tropicana Slim Sirup Orange - Sirup Bebas Gula,100.500,10,3,"30,00%"
2024-07-29,Tropicana Slim Skim Milk Plain 1kg - Susu Turunkan Kolesterol,613.500,10,3,"30,00%"
2024-07-29,Tropicana Slim Susu Low Fat Macchiato Coffee 500gr - Susu Rendah Lemak,84.500,10,1,"10,00%"
2024-07-29,Tropicana Slim Sweet Orange 10 Sch - Minuman Jeruk Bebas Gula,43.200,10,2,"20,00%"
2024-07-29,Twin Pack - Tropicana Slim Peanut Almond Butter Spread 300 gram,266.000,10,2,"20,00%"
2024-07-29,Twin Pack (2 Pcs) - Tropicana Slim Milk Low Fat Vanilla 500gr,0,10,0,"0,00%"
2024-07-29,Twin Pack: Tropicana Slim Kecap Asin 200ml,52.200,10,1,"10,00%"
2024-07-29,Twin Pack: Tropicana Slim Kecap Manis 200ml,565.000,10,10,"100,00%"
2024-07-29,Twin Pack: Tropicana Slim Minyak Jagung 946ml - Pure Corn Oil,0,10,0,"0,00%"
2024-07-30,24 Packs - Tropicana Slim Oat Drink Japanese Cantaloupe Melon 190 ml,0,10,0,"0,00%"
2024-07-30,4 Packs - Tropicana Slim Collagen Shot Peach Blossom 190ml (4pcs),0,10,0,"0,00%"
2024-07-30,HiLo Active Chocolate 1000gr,1.160.000,30,8,"26,67%"
2024-07-30,HiLo Gold Chocolate 500gr - Susu Tinggi Kalsium,250.500,10,3,"30,00%"
2024-07-30,HiLo Gold Plain 1000gr - Susu Tinggi Kalsium,155.500,10,1,"10,00%"
2024-07-30,HiLo School Choco Bites (10 sch) - Candy Susu Permen Cokelat Kalsium,22.400,10,1,"10,00%"
2024-07-30,HiLo School Chocolate 500gr,85.500,10,1,"10,00%"
2024-07-30,HiLo School Strawberry Cheesecake 500gr- Susu Tinggi Kalsium,0,10,0,"0,00%"
2024-07-30,HiLo School Vanilla 1000g - Susu Tinggi Kalsium,2.054.000,20,13,"65,00%"
2024-07-30,HiLo Teen Chocolate 500gr - Susu Tinggi Kalsium,176.000,10,2,"20,00%"
2024-07-30,L-Men Gain Mass Chocolate 225gr,0,10,0,"0,00%"
2024-07-30,L-Men Lose Weight Chocolate Cereal 300gr,143.600,20,1,"5,00%"
2024-07-30,L-Men Platinum Vanilla Caramel 800g - Suplemen Olahraga Tinggi Protein,0,10,0,"0,00%"
2024-07-30,L-Men Protein Bar Strongberry 12 Sachet - Snack Bar Tinggi Protein,115.000,10,1,"10,00%"
2024-07-30,NutriSari Anggur Hijau (40 Sch) - Minuman Buah Vitamin C Vitamin D,0,10,0,"0,00%"
2024-07-30,NutriSari Es Cincau (40 Sch),49.900,10,1,"10,00%"
2024-07-30,NutriSari Less Sugar Jeruk Bali 40 sachet - Tinggi Vitamin C,0,10,0,"0,00%"
2024-07-30,NutriSari Lychee Tea (40 Sch),49.900,10,1,"10,00%"
2024-07-30,NutriSari Mangga Gandaria (40 Sch),0,10,0,"0,00%"
2024-07-30,NutriSari Premium Jus Mangga 420gr - Minuman Juice Kental Rasa Mangga,42.400,5,1,"20,00%"
2024-07-30,Triple Pack: Tropicana Slim White Coffee - Kopi Bebas Gula,300.000,5,5,"100,00%"
2024-07-30,Tropicana Slim 7 Fruits Fiber Daily 12 Sachet,433.200,10,4,"40,00%"
2024-07-30,Tropicana Slim Almond Drink 190ml (4 pcs) - Ready to Drink Cokelat,35.000,10,1,"10,00%"
2024-07-30,Tropicana Slim DIABTX (50 sch) - Pengganti Gula Diabetesi,133.800,10,3,"30,00%"
2024-07-30,Tropicana Slim Kecap Asin 200ml - Rendah Garam,0,10,0,"0,00%"
2024-07-30,Tropicana Slim Kecap Manis 200ml - Bebas Gula Rendah Garam,85.500,10,3,"30,00%"
2024-07-30,Tropicana Slim Low Fat Milk Korean Strawberry 500gr ��� Susu Kolagen,0,5,0,"0,00%"
2024-07-30,Tropicana Slim Madu 350ml - Bebas Gula,344.000,10,5,"50,00%"
2024-07-30,Tropicana Slim Minyak Kanola 946ml - Pure Canola Oil,1.165.500,24,15,"62,50%"
2024-07-30,Tropicana Slim Minyak Sunflower 946ml - Pure Sunflower Oil,84.000,5,1,"20,00%"
2024-07-30,Tropicana Slim Sweetener DIABTX (100 Sachet),583.100,10,7,"70,00%"
2024-07-30,Tropicana Slim Topping Kental Manis - Sugar FREE,243.600,12,7,"58,33%"
2024-07-30,Twin Pack: L-Men Lose Weight Chocolate Cereal 300gr,0,10,0,"0,00%"
2024-07-30,Twin Pack: Tropicana Slim Kecap Manis 200ml,56.500,10,1,"10,00%"
2024-07-30,Twin Pack: Tropicana Slim Minyak Kanola 946ml - Pure Canola Oil,760.000,10,5,"50,00%"
2024-07-30,Twin Pack: Tropicana Slim Sirup Cocopandan 750ml,64.900,10,1,"10,00%"
2024-07-30,Twin Pack: Tropicana Slim Sirup Leci 750ml,64.900,10,1,"10,00%"
2024-07-31,24 Packs - Tropicana Slim Collagen Shot Peach Blossom 190ml (24pcs),397.800,10,2,"20,00%"
2024-07-31,HiLo Active Vanilla 1000g - Susu Tinggi Kalsium Lebih Rendah Lemak,725.000,5,5,"100,00%"
2024-07-31,HiLo Gold Vanilla 500gr - Susu Tinggi Kalsium,250.500,10,3,"30,00%"
2024-07-31,HiLo School Chocolate Gusset 10 Sachet (350gr) - Susu Tinggi Kalsium,49.000,10,1,"10,00%"
2024-07-31,HiLo Teen Chocolate 1000gr - Susu Tinggi Kalsium,648.000,15,4,"26,67%"
2024-07-31,HiLo Teen Chocolate 500gr - Susu Tinggi Kalsium,176.000,10,2,"20,00%"
2024-07-31,HiLo Teen Coffee Tiramisu 200ml (4 Pcs) - Ready to Drink,87.600,10,3,"30,00%"
2024-07-31,HiLo Teen HI PROTEIN Melon 400 g ��� Susu Kalsium Remaja Tinggi Protein,0,5,0,"0,00%"
2024-07-31,HiLo Teen Popcorn Caramel 500gr - Susu Tinggi Kalsium,264.000,10,3,"30,00%"
2024-07-31,L-Men Gain Mass Chocolate 225gr,77.000,12,1,"8,33%"
2024-07-31,L-Men Hi Protein Whey Daily Popcorn Caramel 250gr,0,10,0,"0,00%"
2024-07-31,L-Men Lose Weight Chocolate Cereal 300gr,1.866.800,30,13,"43,33%"
2024-07-31,L-Men Protein Bar Crunchy Chocolate 12 Sch (7g protein / serving),315.000,10,3,"30,00%"
2024-07-31,NutriSari 4 Rasa Local Package (40 Sch),249.500,5,5,"100,00%"
2024-07-31,NutriSari 4 Rasa Summer Package (40 Sch),99.800,10,2,"20,00%"
2024-07-31,NutriSari Jeruk Nipis (40 Sch),449.100,10,9,"90,00%"
2024-07-31,NutriSari Madu Lemon (40 Sch),249.500,10,5,"50,00%"
2024-07-31,NutriSari Milky Orange (40 Sch),948.100,30,19,"63,33%"
2024-07-31,NutriSari Premium Jus Mangga 420gr - Minuman Juice Kental Rasa Mangga,42.400,5,1,"20,00%"
2024-07-31,Triple Pack: HiLo School Chocolate 10 Sachet - Susu Tinggi Kalsium,0,10,0,"0,00%"
2024-07-31,Triple Pack: Tropicana Slim White Coffee - Kopi Bebas Gula,60.000,5,1,"20,00%"
2024-07-31,Tropicana Slim Chocolate Spread 300g,890.000,10,10,"100,00%"
2024-07-31,Tropicana Slim Classic Refill 500gr - Pengganti Gula,217.000,10,2,"20,00%"
2024-07-31,Tropicana Slim DIABTX (50 sch) - Pengganti Gula Diabetesi,89.200,20,2,"10,00%"
2024-07-31,Tropicana Slim French Butter Souffle Coffee 10 Sch - Kopi Susu,355.000,10,10,"100,00%"
2024-07-31,Tropicana Slim Kecap Manis 200ml - Bebas Gula Rendah Garam,285.000,10,10,"100,00%"
2024-07-31,Tropicana Slim Minyak Jagung 946ml (Botol),0,10,0,"0,00%"
2024-07-31,Tropicana Slim Minyak Sunflower 946ml - Pure Sunflower Oil,252.000,5,3,"60,00%"
2024-07-31,Tropicana Slim Saus Tiram 200ml - Bebas Gula Rendah Garam,66.600,5,2,"40,00%"
2024-07-31,Tropicana Slim Skim Milk Fiber Pro 500gr - Susu Turunkan Kolesterol,232.000,10,2,"20,00%"
2024-07-31,Tropicana Slim Skim Milk Plain 1kg - Susu Turunkan Kolesterol,613.500,10,3,"30,00%"
2024-07-31,Twin Pack: L-Men Hi Protein Whey Daily Dark Chocolate,388.500,10,3,"30,00%"
2024-07-31,Twin Pack: Tropicana Slim Classic 50 Sch - Pengganti Gula,0,10,0,"0,00%"
2024-07-31,Twin Pack: Tropicana Slim Diabtx 50 Sch - Pengganti Gula Diabetesi,179.800,10,2,"20,00%"
2024-07-31,Twin Pack: Tropicana Slim Gula Jawa 350ml,0,10,0,"0,00%"
2024-07-31,Twin Pack: Tropicana Slim Kecap Manis 200ml,621.500,10,11,"110,00%"
