flash_date,product_name,SUM of Tiv,SUM of Quantity_Available,SUM of Quantity_Sold,STR
2024-07-21,Tropicana Slim Peanut Almond Butter Spread 300gr ��� Selai Tanpa Gula,201.000,10,3,"30,00%"
2024-07-21,Tropicana Slim Saus Tiram 200ml - Bebas Gula Rendah Garam,33.300,12,1,"8,33%"
2024-07-21,Tropicana Slim Sweetener DIABTX (100 Sachet),83.300,12,1,"8,33%"
2024-07-21,Tropicana Slim Topping Kental Manis - Sugar FREE,139.200,12,4,"33,33%"
2024-07-21,Tropicana Slim White Coffee - Kopi Bebas Gula,244.800,36,12,"33,33%"
2024-07-21,Twin Pack - HiLo Teen Vanilla Caramel 1000 gram - Susu Tinggi Kalsium,326.000,15,1,"6,67%"
2024-07-21,Twin Pack: L-Men Protein Bar Crunchy Chocolate 12 Sch (7g protein),2.040.000,12,12,"100,00%"
2024-07-21,Twin Pack: Tropicana Slim Minyak Kanola 946ml - Pure Canola Oil,1.824.000,12,12,"100,00%"
2024-07-22,24 Packs - Tropicana Slim Collagen Shot Peach Blossom 190ml (24pcs),0,15,0,"0,00%"
2024-07-22,24 Packs - Tropicana Slim Oat Drink Japanese Cantaloupe Melon 190 ml,0,12,0,"0,00%"
2024-07-22,24 Pcs- HiLo Protein Chocofit UHT 190 mL ���Susu Cokelat dengan Collagen,0,12,0,"0,00%"
2024-07-22,4 Packs - Tropicana Slim Collagen Shot Peach Blossom 190ml (4pcs),33.200,24,1,"4,17%"
2024-07-22,HiLo Active Chocolate 1000gr,0,12,0,"0,00%"
2024-07-22,HiLo Choco Malt Hi Calcium 10 Sch ��� Malt Cokelat Susu Berenergi Tinggi,179.300,12,11,"91,67%"
2024-07-22,HiLo Platinum Swiss Chocolate (12 Sachet) - Susu Tinggi Kalsium,615.000,12,6,"50,00%"
2024-07-22,HiLo School Chocolate 1000gr - Susu Tinggi Kalsium,474.000,15,3,"20,00%"
2024-07-22,HiLo Teen Chocolate 1000gr - Susu Tinggi Kalsium,1.296.000,15,8,"53,33%"
2024-07-22,HiLo Teen Chocolate 200ml (24 Pack) -Susu Tinggi Kalsium,342.000,10,2,"20,00%"
2024-07-22,HiLo Teen Chocolate 500gr - Susu Tinggi Kalsium,264.000,12,3,"25,00%"
2024-07-22,HiLo Teen Vanilla Caramel 1000 gram - Susu Tinggi Kalsium,486.000,15,3,"20,00%"
2024-07-22,HiLo Teen Vanilla Caramel 750gr - Susu Tinggi Kalsium,256.000,12,2,"16,67%"
2024-07-22,HiLo Thai Tea (10 Sch),216.000,12,12,"100,00%"
2024-07-22,L-Men Gain Mass Chocolate 800g - 22g Whey Protein - 10 Serving ,169.200,15,1,"6,67%"
2024-07-22,L-Men Protein Bar Strongberry 12 Sachet - Snack Bar Tinggi Protein,0,12,0,"0,00%"
2024-07-22,NutriSari Jeruk Peras Refill 500gr,39.000,12,1,"8,33%"
2024-07-22,NutriSari Premium Jus Mangga 10 Sachet - Jus Kental Manis (JKM),125.300,30,7,"23,33%"
2024-07-22,NutriSari Sweet Mango (40 Sch),0,12,0,"0,00%"
2024-07-22,Triple Pack: HiLo School Vanilla 10 Sachet - Susu Tinggi Kalsium,0,12,0,"0,00%"
2024-07-22,Triple Pack: Tropicana Slim Cafe Latte (10 Sachet) - Sugar FREE,449.500,12,5,"41,67%"
2024-07-22,Tropicana Slim Beras Porang Instan 1000gr,1.874.400,15,12,"80,00%"
2024-07-22,Tropicana Slim Cafe Latte (10 sch) - Kopi Bebas Gula,244.000,12,8,"66,67%"
2024-07-22,Tropicana Slim Collagen Drink Strawberry 200g - Kolagen Bebas Gula,0,12,0,"0,00%"
2024-07-22,Tropicana Slim Extra Virgin Olive Oil 500ml,1.617.000,15,14,"93,33%"
2024-07-22,Tropicana Slim Hokkaido Cheese Cookies (5 Sch) - Snack Bebas Gula,175.000,30,7,"23,33%"
2024-07-22,Tropicana Slim Kecap Manis 200ml - Bebas Gula Rendah Garam,228.000,24,8,"33,33%"
2024-07-22,Tropicana Slim Klepon Cookies (5 Sch) - Snack Bebas Gula,75.000,12,3,"25,00%"
2024-07-22,Tropicana Slim Korean Garlic Butter Cookies (5 Sch) - Snack Bebas Gula,25.000,12,1,"8,33%"
2024-07-22,Tropicana Slim Minyak Kanola 946ml - Pure Canola Oil,543.900,24,7,"29,17%"
2024-07-22,Tropicana Slim Peanut Almond Butter Spread 300gr ��� Selai Tanpa Gula,670.000,10,10,"100,00%"
2024-07-22,Tropicana Slim Santan (5 sachet/pc),0,12,0,"0,00%"
2024-07-22,Tropicana Slim Saus Tiram 200ml - Bebas Gula Rendah Garam,133.200,12,4,"33,33%"
2024-07-22,Tropicana Slim Sweetener DIABTX (100 Sachet),249.900,12,3,"25,00%"
2024-07-22,Tropicana Slim Topping Kental Manis - Sugar FREE,104.400,12,3,"25,00%"
2024-07-22,Tropicana Slim White Coffee - Kopi Bebas Gula,265.200,36,13,"36,11%"
2024-07-22,Twin Pack - HiLo Teen Vanilla Caramel 1000 gram - Susu Tinggi Kalsium,0,15,0,"0,00%"
