Produk ID,Original Price,Slash Price (average daily L30D),Recommended Price,Recommended Stock each Weekend (3 Days)
1682216568,72.500,68.000,68.000,10
502399428,149.500,126.700,126.700,10
2364664411,28.800,0,28.512,10
652328011,103.500,90.700,90.700,11
12783733886,420.000,351.600,351.600,22
11116680947,10.000,0,9.900,10
7899480833,240.000,213.800,213.800,10
590853987,486.200,420.300,420.300,10
12287398466,59.600,50.500,50.500,10
3368449063,292.000,173.100,173.100,10
757846046,100.200,85.500,85.500,10
644607914,62.000,52.000,52.000,10
8966580805,62.000,52.000,52.000,10
618145054,276.000,249.300,249.300,10
10955251507,57.700,0,57.123,22
502365084,149.500,131.900,131.900,10
502361883,103.500,0,102.465,30
13590249694,249.000,0,246.510,10
6889171906,103.500,77.600,77.600,12
935781411,62.000,52.000,52.000,26
602992284,173.100,0,171.369,28
10136917481,151.500,0,149.985,10
502284356,206.400,178.200,178.200,10
11589651117,138.500,0,137.115,176
5617582573,292.000,178.200,178.200,10
22351603,112.500,100.600,100.600,10
1335279658,384.000,0,380.160,10
12246796199,264.000,0,261.360,10
6889182884,207.000,155.000,155.000,10
6994235004,94.600,72.900,72.900,10
810905115,81.200,0,80.388,23
644855001,260.000,0,257.400,10
1447476105,207.000,181.300,181.300,10
6881051716,115.400,72.100,72.100,18
13841285929,62.000,0,61.380,14
502942041,130.000,0,128.700,31
1070573745,47.100,0,46.629,26
1335266313,192.000,0,190.080,74
2593975957,62.000,0,61.380,22
394492579,120.000,102.000,102.000,10
6814615193,10.000,0,9.900,10
12287419839,357.600,0,354.024,10
3552593279,174.000,0,172.260,20
625890883,18.900,0,18.711,23
13651844269,94.600,55.800,55.800,58
644612469,62.000,0,61.380,20
1335244547,205.000,0,202.950,35
6174507920,276.000,249.300,249.300,10
526977295,97.500,0,96.525,37
502161925,50.100,0,49.599,45
12246677354,132.000,0,130.680,17
13604328828,351.800,309.600,309.600,10
10887480385,204.000,169.000,169.000,10
2247387067,127.600,63.000,63.000,37
4698131566,146.000,89.700,89.700,10
11271635939,141.000,93.800,93.800,10
502167488,52.800,0,52.272,26
1238901371,348.000,319.300,319.300,10
644605696,62.000,0,61.380,18
