KD PERFORMANCE,,,,,,
Month,flash_date,product_name,SUM of Tiv,SUM of Quantity_Available,SUM of Quantity_Sold,STR
,,HiLo Active Chocolate 500gr - Susu Tinggi Kalsium,77.000,15,1,"6,67%"
,,HiLo Active Vanilla 500gr - Susu Tinggi Kalsium,77.000,15,1,"6,67%"
,,HiLo Gold Original (Plain) 500gr - Susu Tinggi Kalsium,0,26,0,"0,00%"
,,HiLo Gold Plain 1000gr - Susu Tinggi Kalsium,466.500,30,3,"10,00%"
,,HiLo Teen Chocolate 1000gr - Susu Tinggi Kalsium,3.402.000,40,21,"52,50%"
,,HiLo Teen HI PROTEIN Melon 400 g ï¿½ï¿½ï¿½ Susu Kalsium Remaja Tinggi Protein,0,15,0,"0,00%"
,,HiLo Teen Popcorn Caramel 500gr - Susu Tinggi Kalsium,0,15,0,"0,00%"
,,HiLo Teen Vanilla Caramel 1000 gram - Susu Tinggi Kalsium,1.458.000,15,9,"60,00%"
,,HiLo Thai Tea 200ml (1 pc) - Ready to Drink,0,10,0,"0,00%"
,,L-Men Gain Mass Chocolate 225gr,0,15,0,"0,00%"
,,L-Men Gain Mass Chocolate 500 gr,0,30,0,"0,00%"
,,L-Men Gain Mass Taro 500gr - Suplemen Olahraga Tinggi Whey Protein,0,15,0,"0,00%"
,,L-Men Hi Protein Whey Advanced Cappuccino 250gr,0,15,0,"0,00%"
,,L-Men Protein Bar Strongberry 12 Sachet - Snack Bar Tinggi Protein,760.500,30,9,"30,00%"
,,Triple Pack: HiLo School Chocolate 10 Sachet - Susu Tinggi Kalsium,1.026.200,45,7,"15,56%"
,,Triple Pack: HiLo School Vanilla 10 Sachet - Susu Tinggi Kalsium,293.200,45,2,"4,44%"
,,Tropicana Slim Low Fat Milk Korean Strawberry 500gr ï¿½ï¿½ï¿½ Susu Kolagen,0,15,0,"0,00%"
,,Tropicana Slim Milk Low Fat Vanilla 500gr,338.000,14,4,"28,57%"
,,Tropicana Slim Minyak Sunflower 946ml - Pure Sunflower Oil,168.000,30,2,"6,67%"
,,Tropicana Slim Oat Drink 190ml (24 pcs) - Ready to Drink,449.700,15,3,"20,00%"
,,Tropicana Slim Strawberry jam,760.000,15,10,"66,67%"
,,Tropicana Slim Susu Low Fat Macchiato Coffee 500gr - Susu Rendah Lemak,0,15,0,"0,00%"
,,Twin Pack: Tropicana Slim Saus Tiram 200ml,0,30,0,"0,00%"
,2024-07-03 Total,,9.408.100,583,74,"12,69%"
,2024-07-04,24 Packs - Tropicana Slim Collagen Shot Peach Blossom 190ml (24pcs),0,15,0,"0,00%"
,,HiLo Active Chocolate 1000gr,1.015.000,30,7,"23,33%"
,,HiLo Active Vanilla 1000g - Susu Tinggi Kalsium Lebih Rendah Lemak,580.000,30,4,"13,33%"
,,HiLo School Chocolate 1000gr - Susu Tinggi Kalsium,790.000,15,5,"33,33%"
,,HiLo School Vanilla 1000g - Susu Tinggi Kalsium,1.106.000,10,7,"70,00%"
,,HiLo School Vanilla Vegiberi 200ml - Ready to Drink (4 Pcs),0,15,0,"0,00%"
,,HiLo Teen Chocolate 1000gr - Susu Tinggi Kalsium,1.296.000,20,8,"40,00%"
,,HiLo Teen Coffee Tiramisu 200ml (4 Pcs) - Ready to Drink,0,15,0,"0,00%"
,,HiLo Teen Strawberry Milkshake 500gr - Susu Tinggi Kalsium,176.000,5,2,"40,00%"
,,HiLo Teen Vanilla Caramel 1000 gram - Susu Tinggi Kalsium,2.592.000,30,16,"53,33%"
,,NutriSari 4 Rasa Local Package (40 Sch),199.600,45,4,"8,89%"
,,Tropicana Slim Avocado Coffee (10 Sch) - Tanpa Gula Pasir,174.000,15,5,"33,33%"
,,Tropicana Slim Beras Merah Organik 1 KG  - Beras Merah Pulen,478.400,15,13,"86,67%"
,,Tropicana Slim Cafe Latte (10 sch) - Kopi Bebas Gula,396.500,15,13,"86,67%"
,,Tropicana Slim Classic (50 sch) - Pengganti Gula,127.500,15,3,"20,00%"
,,Tropicana Slim Classic Refill 500gr - Pengganti Gula,0,15,0,"0,00%"
,,Tropicana Slim Cookies Package 4 Varian (@5 Sch),585.600,44,6,"13,64%"
,,Tropicana Slim Extra Virgin Olive Oil 500ml,808.500,30,7,"23,33%"
,,Tropicana Slim Mayonnaise Roasted Sesame 200gr,364.000,15,14,"93,33%"
,,Tropicana Slim Mint Cocoa (10 Sch) - Minuman Cokelat Bebas Gula,150.400,45,4,"8,89%"
,,Tropicana Slim Oat Drink 190ml (4 pcs) - Ready to Drink,534.000,30,20,"66,67%"
,,Tropicana Slim Sirup Leci - Sirup Bebas Gula,0,30,0,"0,00%"
,,Twin Pack: L-Men Protein Bar Crunchy Chocolate 12 Sch (7g protein),1.014.000,30,6,"20,00%"
,,Twin Pack: Tropicana Slim Classic 50 Sch - Pengganti Gula,0,15,0,"0,00%"
,,Twin Pack: Tropicana Slim Extra Virgin Olive Oil 500ml,230.000,15,1,"6,67%"
,,Twin Pack: Tropicana Slim Minyak Kanola 946ml - Pure Canola Oil,2.904.000,30,22,"73,33%"
,2024-07-04 Total,,15.521.500,589,167,"28,35%"
,2024-07-05,HiLo Gold Vanilla 500gr - Susu Tinggi Kalsium,584.500,45,7,"15,56%"
,,HiLo Platinum + HMB 8 Sachet - Susu Tinggi Protein Jaga Massa Otot,382.500,15,3,"20,00%"
,,HiLo Teen Chocolate 1000gr - Susu Tinggi Kalsium,2.106.000,70,13,"18,57%"
,,HiLo Teen Vanilla Caramel 1000 gram - Susu Tinggi Kalsium,648.000,30,4,"13,33%"
,,L-Men Gain Mass Chocolate 500 gr,0,12,0,"0,00%"
,,NutriSari American Sweet Orange (40 Sch),998.000,45,20,"44,44%"
,,NutriSari Jeruk Nipis (40 Sch),0,15,0,"0,00%"
,,NutriSari Jeruk peras (40 Sch),1.097.800,45,22,"48,89%"
,,Triple Pack: Tropicana Slim White Coffee - Kopi Bebas Gula,180.000,15,3,"20,00%"
,,Tropicana Slim Madu 350ml - Bebas Gula,481.600,15,7,"46,67%"
,,Tropicana Slim Sirup Orange - Sirup Bebas Gula,100.500,12,3,"25,00%"
,,Tropicana Slim Skim Milk Fiber Pro 500gr - Susu Turunkan Kolesterol,348.000,14,3,"21,43%"
,2024-07-05 Total,,6.926.900,333,85,"25,53%"
,2024-07-06,24 Packs - Tropicana Slim Collagen Shot Peach Blossom 190ml (24pcs),745.000,45,5,"11,11%"
,,Buy 4 Get 1 FREE: L-Men Protein Crunch BBQ Beef (20gr),0,13,0,"0,00%"
,,HiLo Active Chocolate 500gr - Susu Tinggi Kalsium,77.000,15,1,"6,67%"
,,HiLo Gold Plain 1000gr - Susu Tinggi Kalsium,311.000,30,2,"6,67%"
,,HiLo Teen Chocolate 1000gr - Susu Tinggi Kalsium,2.106.000,20,13,"65,00%"
,,HiLo Thai Tea 200ml (1 pc) - Ready to Drink,0,10,0,"0,00%"
,,L-Men Gain Mass Chocolate 225gr,0,15,0,"0,00%"
,,Triple Pack: HiLo School Chocolate 10 Sachet - Susu Tinggi Kalsium,293.200,15,2,"13,33%"
,,Triple Pack: HiLo School Vanilla 10 Sachet - Susu Tinggi Kalsium,733.000,30,5,"16,67%"
,,Tropicana Slim Low Fat Milk Korean Strawberry 500gr ï¿½ï¿½ï¿½ Susu Kolagen,261.000,15,3,"20,00%"
,,Tropicana Slim Strawberry jam,456.000,15,6,"40,00%"
,,Tropicana Slim Susu Low Fat Macchiato Coffee 500gr - Susu Rendah Lemak,169.000,15,2,"13,33%"
,2024-07-06 Total,,5.151.200,238,39,"16,39%"
,2024-07-07,24 Packs - Tropicana Slim Collagen Shot Peach Blossom 190ml (24pcs),447.000,15,3,"20,00%"
,,HiLo Active Chocolate 1000gr,2.900.000,30,20,"66,67%"
,,HiLo Active Vanilla 1000g - Susu Tinggi Kalsium Lebih Rendah Lemak,2.030.000,30,14,"46,67%"
,,HiLo School Vanilla Vegiberi 200ml - Ready to Drink (4 Pcs),87.600,15,3,"20,00%"
,,HiLo Teen Coffee Tiramisu 200ml (4 Pcs) - Ready to Drink,0,15,0,"0,00%"
,,HiLo Teen Strawberry Milkshake 500gr - Susu Tinggi Kalsium,264.000,5,3,"60,00%"
,,HiLo Thai Tea 200ml (1 pc) - Ready to Drink,0,10,0,"0,00%"
,,L-Men Gain Mass Taro 500gr - Suplemen Olahraga Tinggi Whey Protein,142.000,15,1,"6,67%"
,,NutriSari 4 Rasa Local Package (40 Sch),499.000,15,10,"66,67%"
,,Tropicana Slim Avocado Coffee (10 Sch) - Tanpa Gula Pasir,522.000,15,15,"100,00%"
,,Tropicana Slim Beras Merah Organik 1 KG  - Beras Merah Pulen,257.600,10,7,"70,00%"
,,Tropicana Slim Cafe Latte (10 sch) - Kopi Bebas Gula,274.500,15,9,"60,00%"
,,Tropicana Slim Classic (50 sch) - Pengganti Gula,637.500,15,15,"100,00%"
,,Tropicana Slim Classic Refill 500gr - Pengganti Gula,976.500,15,9,"60,00%"
,,Tropicana Slim Cookies Package 4 Varian (@5 Sch),488.000,30,5,"16,67%"
,,Tropicana Slim Mayonnaise Roasted Sesame 200gr,286.000,15,11,"73,33%"
,,Tropicana Slim Mint Cocoa (10 Sch) - Minuman Cokelat Bebas Gula,601.600,30,16,"53,33%"
,,Tropicana Slim Sirup Leci - Sirup Bebas Gula,67.000,45,2,"4,44%"
,,Tropicana Slim Topping Kental Manis - Sugar FREE,139.200,14,4,"28,57%"
,,Twin Pack: L-Men Protein Bar Crunchy Chocolate 12 Sch (7g protein),3.042.000,30,18,"60,00%"
,,Twin Pack: Tropicana Slim Classic 50 Sch - Pengganti Gula,0,15,0,"0,00%"
,,Twin Pack: Tropicana Slim Extra Virgin Olive Oil 500ml,230.000,15,1,"6,67%"
,,Twin Pack: Tropicana Slim Hokkaido Cheese Cookies (5 Sch) - Sugar FREE,591.500,13,13,"100,00%"
,,Twin Pack: Tropicana Slim Minyak Kanola 946ml - Pure Canola Oil,4.356.000,30,33,"110,00%"
,2024-07-07 Total,,18.839.000,457,212,"46,39%"
,2024-07-08,HiLo Active Chocolate 1000gr,580.000,30,4,"13,33%"
,,HiLo Active Vanilla 1000g - Susu Tinggi Kalsium Lebih Rendah Lemak,1.160.000,45,8,"17,78%"
,,HiLo Platinum Swiss Chocolate (12 Sachet) - Susu Tinggi Kalsium,1.230.000,15,12,"80,00%"
,,HiLo School Chocolate 1000gr - Susu Tinggi Kalsium,158.000,15,1,"6,67%"
,,HiLo School Vanilla 1000g - Susu Tinggi Kalsium,632.000,30,4,"13,33%"
,,HiLo School Vanilla Vegiberi 200ml - Ready to Drink (4 Pcs),29.200,15,1,"6,67%"
,,HiLo Teen Chocolate 1000gr - Susu Tinggi Kalsium,1.782.000,20,11,"55,00%"
,,HiLo Teen Coffee Tiramisu 200ml (4 Pcs) - Ready to Drink,0,15,0,"0,00%"
,,HiLo Teen Strawberry Milkshake 500gr - Susu Tinggi Kalsium,0,5,0,"0,00%"
,,HiLo Teen Vanilla Caramel 1000 gram - Susu Tinggi Kalsium,486.000,30,3,"10,00%"
,,L-Men Plant Protein Ogura 216gr,945.000,15,15,"100,00%"
,,L-Men Protein Bar Strongberry 12 Sachet - Snack Bar Tinggi Protein,195.600,15,2,"13,33%"
,,Triple Pack: Tropicana Slim Cafe Latte (10 Sachet) - Sugar FREE,809.100,15,9,"60,00%"
,,Tropicana Slim Avocado Coffee (10 Sch) - Tanpa Gula Pasir,69.600,15,2,"13,33%"
,,Tropicana Slim Cafe Latte (10 sch) - Kopi Bebas Gula,457.500,15,15,"100,00%"
,,Tropicana Slim Classic (50 sch) - Pengganti Gula,0,15,0,"0,00%"
,,Tropicana Slim Classic 100 sachet,1.215.000,15,15,"100,00%"
,,Tropicana Slim Classic Refill 500gr - Pengganti Gula,434.000,15,4,"26,67%"
,,Tropicana Slim Extra Virgin Olive Oil 500ml,2.079.000,30,18,"60,00%"
,,Tropicana Slim Kecap Manis 200ml - Bebas Gula Rendah Garam,0,15,0,"0,00%"
,,Tropicana Slim Madu 350ml - Bebas Gula,137.600,5,2,"40,00%"
,,Tropicana Slim Mayonnaise Roasted Sesame 200gr,130.000,5,5,"100,00%"
,,Tropicana Slim Milk Low Fat Vanilla 500gr,0,15,0,"0,00%"
,,Tropicana Slim Mint Cocoa (10 Sch) - Minuman Cokelat Bebas Gula,263.200,10,7,"70,00%"
,,Tropicana Slim Minyak Kanola 946ml - Pure Canola Oil,155.400,15,2,"13,33%"
,,Tropicana Slim Nutty Chocolate Cookies 200gr - Snack Bebas Gula,192.000,15,4,"26,67%"
,,Tropicana Slim Peanut Almond Butter Spread 300gr ��� Selai Tanpa Gula,804.000,15,12,"80,00%"
,,Tropicana Slim Sirup Cocopandan - Sirup Bebas Gula,67.000,15,2,"13,33%"
,,Tropicana Slim Sirup Leci - Sirup Bebas Gula,67.000,15,2,"13,33%"
,,Tropicana Slim Sirup Orange - Sirup Bebas Gula,67.000,15,2,"13,33%"
,,Tropicana Slim Sweetener DIABTX (100 Sachet),666.400,15,8,"53,33%"
,,Tropicana Slim Sweetener Stevia 100 Sch - Pemanis Alami,2.831.500,35,35,"100,00%"
,,Twin Pack - HiLo Teen Vanilla Caramel 1000 gram - Susu Tinggi Kalsium,322.000,30,1,"3,33%"
,,Twin Pack: L-Men Protein Bar Crunchy Chocolate 12 Sch (7g protein),1.690.000,30,10,"33,33%"
,,Twin Pack: Tropicana Slim Minyak Kanola 946ml - Pure Canola Oil,456.000,30,3,"10,00%"
,2024-07-08 Total,,20.111.100,650,219,"33,69%"
,2024-07-09,HiLo Active Chocolate 1000gr,580.000,30,4,"13,33%"
,,HiLo Active Vanilla 1000g - Susu Tinggi Kalsium Lebih Rendah Lemak,290.000,15,2,"13,33%"
,,HiLo Platinum Swiss Chocolate (12 Sachet) - Susu Tinggi Kalsium,717.500,15,7,"46,67%"
,,HiLo School Chocolate 1000gr - Susu Tinggi Kalsium,316.000,15,2,"13,33%"
,,HiLo School Vanilla 1000g - Susu Tinggi Kalsium,474.000,15,3,"20,00%"
,,HiLo Teen Chocolate 1000gr - Susu Tinggi Kalsium,1.458.000,20,9,"45,00%"
,,HiLo Teen Strawberry Milkshake 500gr - Susu Tinggi Kalsium,0,5,0,"0,00%"
,,HiLo Teen Vanilla Caramel 1000 gram - Susu Tinggi Kalsium,648.000,15,4,"26,67%"
,,L-Men Plant Protein Ogura 216gr,315.000,15,5,"33,33%"
,,L-Men Protein Bar Strongberry 12 Sachet - Snack Bar Tinggi Protein,97.800,15,1,"6,67%"
,,NutriSari 4 Rasa Local Package (40 Sch),0,5,0,"0,00%"
,,Triple Pack: Tropicana Slim Cafe Latte (10 Sachet) - Sugar FREE,899.000,15,10,"66,67%"
,,Tropicana Slim Avocado Coffee (10 Sch) - Tanpa Gula Pasir,139.200,15,4,"26,67%"
,,Tropicana Slim Cafe Latte (10 sch) - Kopi Bebas Gula,213.500,15,7,"46,67%"
,,Tropicana Slim Classic (50 sch) - Pengganti Gula,170.000,15,4,"26,67%"
,,Tropicana Slim Classic 100 sachet,243.000,15,3,"20,00%"
,,Tropicana Slim Classic Refill 500gr - Pengganti Gula,108.500,15,1,"6,67%"
,,Tropicana Slim Cookies Package 4 Varian (@5 Sch),97.600,15,1,"6,67%"
,,Tropicana Slim Extra Virgin Olive Oil 500ml,1.270.500,30,11,"36,67%"
,,Tropicana Slim Gula Buah 50 Sachet - Alami untuk Batasi Gula,226.500,5,5,"100,00%"
,,Tropicana Slim Gula Jawa 350ml - Bebas Gula,129.200,15,2,"13,33%"
,,Tropicana Slim Kecap Manis 200ml - Bebas Gula Rendah Garam,228.000,15,8,"53,33%"
,,Tropicana Slim Madu 350ml - Bebas Gula,137.600,5,2,"40,00%"
,,Tropicana Slim Mayonnaise Roasted Sesame 200gr,130.000,5,5,"100,00%"
,,Tropicana Slim Milk Low Fat Vanilla 500gr,84.500,15,1,"6,67%"
,,Tropicana Slim Mint Cocoa (10 Sch) - Minuman Cokelat Bebas Gula,112.800,10,3,"30,00%"
,,Tropicana Slim Minyak Kanola 946ml - Pure Canola Oil,0,15,0,"0,00%"
,,Tropicana Slim Nutty Chocolate Cookies 200gr - Snack Bebas Gula,288.000,15,6,"40,00%"
,,Tropicana Slim Oat Drink 190ml (4 pcs) - Ready to Drink,32.900,14,1,"7,14%"
,,Tropicana Slim Peanut Almond Butter Spread 300gr ��� Selai Tanpa Gula,1.005.000,15,15,"100,00%"
,,Tropicana Slim Sirup Cocopandan - Sirup Bebas Gula,0,15,0,"0,00%"
,,Tropicana Slim Sirup Leci - Sirup Bebas Gula,0,15,0,"0,00%"
,,Tropicana Slim Sweetener DIABTX (100 Sachet),166.600,15,2,"13,33%"
,,Tropicana Slim Sweetener Stevia 100 Sch - Pemanis Alami,1.860.700,35,23,"65,71%"
,,Twin Pack - HiLo Teen Vanilla Caramel 1000 gram - Susu Tinggi Kalsium,322.000,30,1,"3,33%"
,,Twin Pack - Tropicana Slim Beras Merah Organik 1 KG - Lebih Pulen,219.900,5,3,"60,00%"
,,Twin Pack: L-Men Protein Bar Crunchy Chocolate 12 Sch (7g protein),1.690.000,30,10,"33,33%"
,,Twin Pack: Tropicana Slim Minyak Kanola 946ml - Pure Canola Oil,608.000,30,4,"13,33%"
,2024-07-09 Total,,15.279.300,604,169,"27,98%"
,2024-07-10,24 Packs - Tropicana Slim Oat Drink Japanese Cantaloupe Melon 190 ml,0,5,0,"0,00%"
,,HiLo Active Chocolate 1000gr,435.000,30,3,"10,00%"
,,HiLo Gold Chocolate 1000gr - Susu Tinggi Kalsium Rendah Lemak,622.000,15,4,"26,67%"
,,HiLo School Chocolate 1000gr - Susu Tinggi Kalsium,0,15,0,"0,00%"
,,HiLo Teen Chocolate 1000gr - Susu Tinggi Kalsium,1.296.000,20,8,"40,00%"
,,HiLo Teen Chocolate 200ml (4 Pcs) - Ready to Drink,0,15,0,"0,00%"
,,HiLo Teen Strawberry Milkshake 500gr - Susu Tinggi Kalsium,88.000,5,1,"20,00%"
,,L-Men Plant Protein Ogura 216gr,378.000,15,6,"40,00%"
,,L-Men Protein Bar Strongberry 12 Sachet - Snack Bar Tinggi Protein,293.400,15,3,"20,00%"
,,NutriSari 4 Rasa Local Package (40 Sch),49.900,5,1,"20,00%"
,,Triple Pack: Tropicana Slim Cafe Latte (10 Sachet) - Sugar FREE,899.000,15,10,"66,67%"
,,Tropicana Slim Avocado Coffee (10 Sch) - Tanpa Gula Pasir,34.800,15,1,"6,67%"
