Nama Produk,Produk ID,Harga tokped,Lokasi Gudang,Stok Tersedia,Stok Utama,Stok Diskon,Stok Campaign (Lainnya),Stok Campaign (Kejar Diskon),Stok Campaign (Kejar Diskon Spesial),Stok Campaign (Rilisan Spesial)
Twin Pack - HiLo School Vanilla Vegiberi 500 gram Susu Tinggi Kalsium,9388295839,207000,Surabaya Osowilangun,0,0,0,0,0,0,0
Twin Pack - HiLo School Vanilla Vegiberi 500 gram Susu Tinggi Kalsium,9388295839,207000,Medan Amplas,0,0,0,0,0,0,0
Twin Pack - HiLo School Vanilla Vegiberi 500 gram Susu Tinggi Kalsium,9388295839,207000,Bandung Nasution,0,0,0,0,0,0,0
Tropicana Slim Hokkaido Cheese Cookies + Cafe Latte (10 Sch),671088714,86500,Surabaya Rungkut,0,0,0,0,0,0,0
Tropicana Slim Hokkaido Cheese Cookies + Cafe Latte (10 Sch),671088714,86500,Jakarta Cakung,6,0,6,0,0,0,0
Tropicana Slim Hokkaido Cheese Cookies + Cafe Latte (10 Sch),671088714,86500,Surabaya Osowilangun,2,0,2,0,0,0,0
Tropicana Slim Hokkaido Cheese Cookies + Cafe Latte (10 Sch),671088714,86500,Medan Amplas,0,0,0,0,0,0,0
Tropicana Slim Hokkaido Cheese Cookies + Cafe Latte (10 Sch),671088714,86500,Bandung Nasution,2,0,2,0,0,0,0
Twin Pack: HiLo School Vanillla Gusset 10 Sch - Susu Tinggi Kalsium,1130976746,123800,Jakarta Cakung,5,0,5,0,0,0,0
Twin Pack: HiLo School Vanillla Gusset 10 Sch - Susu Tinggi Kalsium,1130976746,123800,Surabaya Osowilangun,0,0,0,0,0,0,0
Twin Pack: HiLo School Vanillla Gusset 10 Sch - Susu Tinggi Kalsium,1130976746,123800,Medan Amplas,0,0,0,0,0,0,0
Twin Pack: HiLo School Vanillla Gusset 10 Sch - Susu Tinggi Kalsium,1130976746,123800,Bandung Nasution,2,0,2,0,0,0,0
Twin Pack: HiLo School Vanillla Gusset 10 Sch - Susu Tinggi Kalsium,1130976746,123800,Surabaya Rungkut,0,0,0,0,0,0,0
HiLo Thai Tea Refill 500gr - Powder Drink Tinggi Kalsium,3599148327,62400,Jakarta Cakung,12,0,12,0,0,0,0
HiLo Thai Tea Refill 500gr - Powder Drink Tinggi Kalsium,3599148327,62400,Surabaya Osowilangun,0,0,0,0,0,0,0
