Nama Produk,Produk ID,Harga tokped,Lokasi Gudang,Stok Tersedia,Stok Utama,Stok Diskon,Stok Campaign (Lainnya),Stok Campaign (Kejar Diskon),Stok Campaign (Kejar Diskon Spesial),Stok Campaign (Rilisan Spesial)
Twin Pack - HiLo Gold Original (Plain) 500 gram - Susu Tinggi Kalsium,9388274597,190000,Medan Amplas,0,0,0,0,0,0,0
GIFT - Botol Minum Lock & Lock 1.5 L - 2023,10189049068,50000,Jakarta Cakung,0,0,0,0,0,0,0
GIFT - Shaker HiLo Platinum,11636578170,90000,Surabaya Osowilangun,0,0,0,0,0,0,0
GIFT - Shaker HiLo Platinum,11636578170,90000,Jakarta Cakung,0,0,0,0,0,0,0
Twin Pack: Tropicana Slim Stevia (50 Sch) - Pengganti Gula,403763419,141000,Surabaya Rungkut,0,0,0,0,0,0,0
Twin Pack: Tropicana Slim Stevia (50 Sch) - Pengganti Gula,403763419,141000,Jakarta Cakung,15,0,15,0,0,0,0
Twin Pack: Tropicana Slim Stevia (50 Sch) - Pengganti Gula,403763419,141000,Surabaya Osowilangun,2,0,2,0,0,0,0
Twin Pack: Tropicana Slim Stevia (50 Sch) - Pengganti Gula,403763419,141000,Medan Amplas,0,0,0,0,0,0,0
Twin Pack: Tropicana Slim Stevia (50 Sch) - Pengganti Gula,403763419,141000,Bandung Nasution,0,0,0,0,0,0,0
HiLo Gold Sweet Potato 500gr - Susu Tinggi Kalsium,2016955079,95000,Surabaya Rungkut,0,0,0,0,0,0,0
HiLo Gold Sweet Potato 500gr - Susu Tinggi Kalsium,2016955079,95000,Jakarta Cakung,0,0,0,0,0,0,0
HiLo Gold Sweet Potato 500gr - Susu Tinggi Kalsium,2016955079,95000,Surabaya Osowilangun,0,0,0,0,0,0,0
HiLo Gold Sweet Potato 500gr - Susu Tinggi Kalsium,2016955079,95000,Medan Amplas,0,0,0,0,0,0,0
HiLo Gold Sweet Potato 500gr - Susu Tinggi Kalsium,2016955079,95000,Bandung Nasution,0,0,0,0,0,0,0
HiLo Gold Chocolate 1000gr - Susu Tinggi Kalsium Rendah Lemak,3552593279,174000,Surabaya Rungkut,0,0,0,0,0,0,0
